"DataActivityLabels" "DataSubjects" "n"
"Laying" "1" 50
"Laying" "2" 48
"Laying" "3" 62
"Laying" "4" 54
"Laying" "5" 52
"Laying" "6" 57
"Laying" "7" 52
"Laying" "8" 54
"Laying" "9" 50
"Laying" "10" 58
"Laying" "11" 57
"Laying" "12" 60
"Laying" "13" 62
"Laying" "14" 51
"Laying" "15" 72
"Laying" "16" 70
"Laying" "17" 71
"Laying" "18" 65
"Laying" "19" 83
"Laying" "20" 68
"Laying" "21" 90
"Laying" "22" 72
"Laying" "23" 72
"Laying" "24" 72
"Laying" "25" 73
"Laying" "26" 76
"Laying" "27" 74
"Laying" "28" 80
"Laying" "29" 69
"Laying" "30" 70
"Sitting" "1" 47
"Sitting" "2" 46
"Sitting" "3" 52
"Sitting" "4" 50
"Sitting" "5" 44
"Sitting" "6" 55
"Sitting" "7" 48
"Sitting" "8" 46
"Sitting" "9" 50
"Sitting" "10" 54
"Sitting" "11" 53
"Sitting" "12" 51
"Sitting" "13" 49
"Sitting" "14" 54
"Sitting" "15" 59
"Sitting" "16" 69
"Sitting" "17" 64
"Sitting" "18" 57
"Sitting" "19" 73
"Sitting" "20" 66
"Sitting" "21" 85
"Sitting" "22" 62
"Sitting" "23" 68
"Sitting" "24" 68
"Sitting" "25" 65
"Sitting" "26" 78
"Sitting" "27" 70
"Sitting" "28" 72
"Sitting" "29" 60
"Sitting" "30" 62
"Standing" "1" 52
"Standing" "2" 53
"Standing" "3" 61
"Standing" "4" 56
"Standing" "5" 56
"Standing" "6" 57
"Standing" "7" 53
"Standing" "8" 54
"Standing" "9" 45
"Standing" "10" 44
"Standing" "11" 47
"Standing" "12" 61
"Standing" "13" 57
"Standing" "14" 60
"Standing" "15" 53
"Standing" "16" 78
"Standing" "17" 78
"Standing" "18" 73
"Standing" "19" 73
"Standing" "20" 73
"Standing" "21" 89
"Standing" "22" 63
"Standing" "23" 68
"Standing" "24" 69
"Standing" "25" 74
"Standing" "26" 74
"Standing" "27" 80
"Standing" "28" 79
"Standing" "29" 65
"Standing" "30" 59
"Walking" "1" 95
"Walking" "2" 59
"Walking" "3" 58
"Walking" "4" 60
"Walking" "5" 56
"Walking" "6" 57
"Walking" "7" 57
"Walking" "8" 48
"Walking" "9" 52
"Walking" "10" 53
"Walking" "11" 59
"Walking" "12" 50
"Walking" "13" 57
"Walking" "14" 59
"Walking" "15" 54
"Walking" "16" 51
"Walking" "17" 61
"Walking" "18" 56
"Walking" "19" 52
"Walking" "20" 51
"Walking" "21" 52
"Walking" "22" 46
"Walking" "23" 59
"Walking" "24" 58
"Walking" "25" 74
"Walking" "26" 59
"Walking" "27" 57
"Walking" "28" 54
"Walking" "29" 53
"Walking" "30" 65
"Walking Downstairs" "1" 49
"Walking Downstairs" "2" 47
"Walking Downstairs" "3" 49
"Walking Downstairs" "4" 45
"Walking Downstairs" "5" 47
"Walking Downstairs" "6" 48
"Walking Downstairs" "7" 47
"Walking Downstairs" "8" 38
"Walking Downstairs" "9" 42
"Walking Downstairs" "10" 38
"Walking Downstairs" "11" 46
"Walking Downstairs" "12" 46
"Walking Downstairs" "13" 47
"Walking Downstairs" "14" 45
"Walking Downstairs" "15" 42
"Walking Downstairs" "16" 47
"Walking Downstairs" "17" 46
"Walking Downstairs" "18" 55
"Walking Downstairs" "19" 39
"Walking Downstairs" "20" 45
"Walking Downstairs" "21" 45
"Walking Downstairs" "22" 36
"Walking Downstairs" "23" 54
"Walking Downstairs" "24" 55
"Walking Downstairs" "25" 58
"Walking Downstairs" "26" 50
"Walking Downstairs" "27" 44
"Walking Downstairs" "28" 46
"Walking Downstairs" "29" 48
"Walking Downstairs" "30" 62
"Walking Upstairs" "1" 53
"Walking Upstairs" "2" 48
"Walking Upstairs" "3" 59
"Walking Upstairs" "4" 52
"Walking Upstairs" "5" 47
"Walking Upstairs" "6" 51
"Walking Upstairs" "7" 51
"Walking Upstairs" "8" 41
"Walking Upstairs" "9" 49
"Walking Upstairs" "10" 47
"Walking Upstairs" "11" 54
"Walking Upstairs" "12" 52
"Walking Upstairs" "13" 55
"Walking Upstairs" "14" 54
"Walking Upstairs" "15" 48
"Walking Upstairs" "16" 51
"Walking Upstairs" "17" 48
"Walking Upstairs" "18" 58
"Walking Upstairs" "19" 40
"Walking Upstairs" "20" 51
"Walking Upstairs" "21" 47
"Walking Upstairs" "22" 42
"Walking Upstairs" "23" 51
"Walking Upstairs" "24" 59
"Walking Upstairs" "25" 65
"Walking Upstairs" "26" 55
"Walking Upstairs" "27" 51
"Walking Upstairs" "28" 51
"Walking Upstairs" "29" 49
"Walking Upstairs" "30" 65
